active_channel_fraction,activity_decay_log2_ratio,activity_trend_normalized_slope,amplitude_iqr,amplitude_median,avalanche_bin_s,avalanche_branching_ratio,avalanche_count,avalanche_criticality_distance,avalanche_duration_mean_s,avalanche_rate_per_min,avalanche_size_cv,avalanche_size_max,avalanche_size_mean,avalanche_size_median,connectivity_bin_s,connectivity_channels_used,dominant_channel_fraction,duration_s,event_quality_score,excluded_out_of_range_spikes,feature_schema_version,firing_rate_cv,firing_rate_max_hz,firing_rate_mean_hz,firing_rate_median_hz,firing_rate_std_hz,firing_stability_cv,granger_log_variance_ratio_max,granger_log_variance_ratio_mean,input_total_spikes,isi_cv_mean,isi_median_s,mutual_information_max_bits,mutual_information_mean_bits,n_channels,network_burst_mean_duration_s,network_burst_participation,network_burst_rate_per_min,network_clustering,network_density,population_entropy,recording_id,refractory_violation_fraction,sttc_max,sttc_mean,sttc_median,total_spikes,transfer_entropy_asymmetry_mean_bits,transfer_entropy_max_bits,transfer_entropy_mean_bits,fs_id,functional_phenotype_index,anomaly_percentile,anomaly_raw,pc1,pc2
0.625,-0.26091435395942436,-0.07949891592387345,5.655000999999999,-33.735,0.1,1.0,541.0,0.0,0.14731977818853978,54.099999999999994,4.907998310239519,249.0,3.288354898336414,1.0,0.05,8.0,0.5267003934794829,600.0,99.8931623931624,0.0,2.0,1.2953944191790714,1.5616666666666668,0.370625,0.19749999999999998,0.48010555660824333,0.43258390176305583,0.14971448087424685,0.01627491379848686,1779.0,2.146040690600651,0.20650624999998968,0.004380707895478039,0.001085444869313823,8.0,0.10575221238938054,0.21460176991150443,11.299999999999999,0.3033801663959549,0.5357142857142857,0.14681325972924456,fs371-org2,0.0005341880341880342,0.7221214106505428,0.18197636553439936,0.10953622503469035,1779.0,0.0002941955685364833,0.0017201879081208938,0.0002261927705389253,371.0,24.444444444444443,71.11111111111111,0.47927978307703295,-0.33958820260768213,0.5178221757695319
0.625,-0.04212547567267644,-0.05655146922934733,59.864990000000006,-55.964996,0.09712264382896016,0.9960949234004205,1534.0,0.0039050765995795045,0.25420300845715454,153.4,0.7473653746248414,35.0,4.03129074315515,3.0,0.05,8.0,0.484961190168176,600.0,80.0,0.0,2.0,1.3485507552949625,4.998333333333333,1.288333333333333,0.18416666666666667,1.737382889738343,0.08404939905556569,0.054800665487722486,0.0010716483939544658,6184.0,1.044991541440254,0.463330000000032,0.006255645340497924,0.00023745624767503268,8.0,0.05342601787487588,0.24019364448857994,100.69999999999999,0.0,0.03571428571428571,0.445538080573458,fs371-org3,0.0,0.47698791863613527,0.01980378477179733,0.0,6184.0,9.65840164331624e-05,0.001059311200675157,5.3697020856594397e-05,371.0,15.555555555555555,64.44444444444444,0.46834711493941794,0.12931614749011078,-1.3368807592197651
1.0,0.2836032450475819,0.07837016347654667,15.600002000000003,-41.535,0.04990597668026985,0.9942735949098621,1222.0,0.005726405090137887,0.1398347497162389,122.2,3.880800598898701,463.0,9.961538461538462,2.0,0.05,8.0,0.2968044031873819,600.0,99.9692236649675,0.0,2.0,0.7639368929675285,6.0216666666666665,2.5360416666666667,1.8591666666666666,1.937375791269526,0.2206135555725547,0.21956645450569193,0.04554786833972839,12173.0,3.336029297502478,0.02673350000000596,0.14392458020661447,0.02197480034594714,8.0,0.1492063492063492,0.31764069264069267,69.3,0.5486791667379286,0.4642857142857143,0.34679437149598064,fs373-org0,0.00015388167516252018,0.6398205453484924,0.2003777635338651,0.08944871203433427,12173.0,0.0022531815704825192,0.043189985337045524,0.006228425353757063,373.0,80.0,37.77777777777778,0.422810552822504,-0.8939458138934435,0.24050052223770407
1.0,0.17508670655809166,0.1066703996640307,11.309997000000003,-38.805,0.1,0.9879032258064516,776.0,0.012096774193548376,0.19574742268041243,77.6,4.724825507866024,391.0,5.260309278350515,1.0,0.05,8.0,0.38461538461538464,600.0,100.0,0.0,2.0,0.858562551822102,2.6166666666666667,0.8504166666666666,0.6758333333333333,0.7301359034453792,0.5544751109228986,0.44991437330616985,0.053530736768616256,4082.0,2.884111198901887,0.026783250000008252,0.03865371419962619,0.005666161849236272,8.0,0.098989898989899,0.2558922558922559,29.7,0.6682063081349655,0.32142857142857145,0.2175511949130351,fs373-org1,0.0,0.6674853187767991,0.16515979131648237,0.008211582862537474,4082.0,0.000920756092767982,0.019593892995840224,0.0024332937335736294,373.0,48.888888888888886,11.11111111111111,0.3924331913943246,-0.7746124263426072,0.3378376952854844
0.75,-0.04625063105575664,0.12008281573498995,20.474999999999994,-42.899998,0.1,0.9988751406074241,1365.0,0.0011248593925758943,0.20402930402930403,136.5,1.8608016907527747,131.0,2.8813186813186813,2.0,0.05,8.0,0.5082634121535723,600.0,100.0,0.0,2.0,1.246760863767852,3.3316666666666666,0.819375,0.5041666666666667,1.0215646827497837,0.1183680701884851,0.048431679960410326,0.0013013392963674639,3933.0,1.285849262433288,0.827700250000003,0.0008050863771426927,5.3596785309923766e-05,8.0,0.06243315508021391,0.24732620320855614,37.4,0.0,0.03571428571428571,0.3355406636700379,fs373-org2,0.0,0.11281588550676284,0.005412829956422678,-0.0033608606937410917,3933.0,7.79322741460232e-05,0.0016052462134875716,0.00010176541590110168,373.0,8.88888888888889,62.22222222222222,0.4611979972315505,0.6900587590232675,-1.0889129687782313
1.0,0.011153476818787495,-0.01639672065586875,128.699996,50.504997,0.04007100127005348,1.0014233428222854,1549.0,0.0014233428222854005,0.137778019860752,154.9,2.780049559623844,248.0,9.685603615235635,1.0,0.05,8.0,0.6331400386589349,600.0,97.92348331765528,0.0,2.0,1.557899700841599,15.831666666666667,3.1256250000000003,1.2191666666666667,4.869410252443023,0.028997878352022412,0.2711020911820142,0.026965160617884627,15003.0,2.8758337572079538,0.01219150000000191,0.03015932621142137,0.0052888398698379465,8.0,0.21517341040462432,0.22272398843930635,69.2,0.3627898203824086,0.39285714285714285,0.45772817388888165,fs373-org3,2.6321330806485575e-05,0.655038516914658,0.16256795615826633,0.008201440887504782,15003.0,0.0011752978883453494,0.01269332626925393,0.0021312808037198703,373.0,73.33333333333333,93.33333333333333,0.5454729987315718,-0.8471275773028987,-1.0661844030282612
1.0,1.6814517475866062,1.255757428449901,23.985,-44.85,0.0853278068278805,1.0009920634920635,1066.0,0.0009920634920634885,0.18634440365413302,106.6,3.8951412473408635,470.0,6.6163227016885555,1.0,0.05,8.0,0.3157521622004821,600.0,92.5,0.0,2.0,0.7221780890946733,3.7116666666666664,1.4693749999999999,1.1883333333333335,1.0611504296634855,0.5719232291361647,0.2692747531905094,0.0377289427160376,7053.0,3.810479730315338,0.026024500000005446,0.035423441616501315,0.007310665652963621,8.0,0.12250554323725056,0.25027716186252774,45.1,0.7151089149586801,0.32142857142857145,0.27851674066692117,fs375-org1,0.0,0.6189153783311467,0.16694192808369382,0.01849578722945998,7053.0,0.0012882138638945616,0.01562134373447607,0.0029937750205621567,375.0,71.11111111111111,13.333333333333334,0.3956067590573832,-0.837932900376799,0.33443177813702213
1.0,-1.0490312391169014,-0.39596867221176596,6.630003000000002,-36.27,0.1,1.0165125495376486,1436.0,0.01651254953764858,0.17952646239554318,143.60000000000002,5.45649542391003,452.0,3.277158774373259,2.0,0.05,8.0,0.2645558861028474,600.0,92.5,0.0,2.0,0.7592440838990916,2.075,0.9804166666666667,0.8716666666666666,0.7443755539227345,0.3758473019086264,0.31518626483406853,0.0363945292899346,4706.0,2.18419007113656,0.1234652499999811,0.0106841691947646,0.0015296465996832238,8.0,0.07165697674418604,0.24818313953488372,34.4,0.49038792848197843,0.35714285714285715,0.2625963634885615,fs375-org2,0.0,0.4646245383435831,0.11119359341069888,0.0027270964075274745,4706.0,0.0012174958820972048,0.012194519823518126,0.001960586552529542,375.0,35.55555555555556,8.88888888888889,0.38895689457756705,-0.611695645995909,0.07158468133186013
0.875,0.13892326640106042,0.08898305084745797,90.47999999999999,-43.289997,0.1,1.0364298724954462,606.0,0.03642987249544616,0.16204620462046204,60.6,3.841257308292804,205.0,4.673267326732673,1.0,0.05,8.0,0.3601694915254237,600.0,100.0,0.0,2.0,1.0423843644583606,1.7,0.59,0.3275,0.6150067750304328,0.17169733435365306,0.25369827100835185,0.009847115594563733,2832.0,2.8144653817982195,0.06843250000000278,0.033082407560398326,0.004969943558641553,8.0,0.11222222222222224,0.27291666666666664,18.0,0.4892923061520184,0.25,0.1924066567616413,fs375-org3,0.0,0.595004843158547,0.1120603673693111,0.0037592837560878343,2832.0,0.0008748774753102647,0.013632958142868601,0.000753534410237036,375.0,42.22222222222222,20.0,0.40382836896581753,-0.6411854928276416,0.1689243395010534
1.0,-0.1634315536355298,-0.11252706870529543,85.8,-39.195,0.0830495661483088,0.9988377498837749,1739.0,0.001162250116225061,0.1787070020281607,57.96666666666667,3.7149934116145262,481.0,12.518688901667625,1.0,0.05,8.0,0.2596233348644924,1800.0,99.99064721286943,0.0,2.0,0.6219476682170968,3.14,1.5118055555555556,1.4649999999999999,0.9402639400754305,0.08612048354405756,0.22719258132685186,0.03653318115554648,21770.0,5.611101405462916,0.010224999999934425,0.09171631339662457,0.01657115575166009,8.0,0.17606060606060608,0.26268939393939394,22.0,0.5017655582053402,0.4642857142857143,0.20133702017653224,fs379-org0,4.676393565282454e-05,0.8353128686264277,0.25695550478708773,0.06117289592318108,21770.0,0.0016571586785503974,0.02307935353912813,0.004224803764815563,379.0,91.11111111111111,42.22222222222222,0.4294699769281961,-0.9298384490404474,1.0414087862413197
